Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Продуктовый магазин,г. Москва,Продуктовые магазины,"МКАД 19 километр, вл20 ст1",1 этаж; Выход №20,115612,,Братеево,Москва,,Москва,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001082958291,55.621099,37.781235,4504235283044734,ТК Южные Ворота,70030076552429702,1,70000001082958290,"Продуктовый магазин, г. Москва",Продуктовый магазин,Продуктовые магазины,shop,1,4,2026-03-31T12:32:44Z,,0,32,https://2gis.com/firm/70000001082958291,branch,29,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726609
Пандион,магазин продуктов,Продуктовые магазины,"улица Борисовские Пруды, 8 к3",1 этаж,115211,,Братеево,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,3.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001007546709,55.632974,37.738803,4504235282532565,,,1,70000001007546708,Пандион,магазин продуктов,Продуктовые магазины,shop,1,5,2026-07-03T10:39:11Z,,0,32,https://2gis.com/firm/70000001007546709,branch,29,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726609
Продуктовый магазин,,Продуктовые магазины,"МКАД 19 километр, вл20 ст1",1 этаж,115612,,Братеево,Москва,,Москва,Россия,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00; Сб: 08:00-18:00; Вс: 08:00-18:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001069075073,55.622864,37.781252,4504235283044734,ТК Южные Ворота,70030076552429702,1,70000001069075072,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,shop,1,4,2026-03-31T14:39:46Z,,0,32,https://2gis.com/firm/70000001069075073,branch,29,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726609
Мини-маркет,,Продуктовые магазины,"улица Борисовские Пруды, 38",цокольный этаж; вход с торца,115408,,Братеево,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4504127909044730,55.642814,37.766954,4504235282532810,,,1,4504136498541903,Мини-маркет,Мини-маркет,Продуктовые магазины,shop,1,3,2026-03-03T14:34:48Z,,0,32,https://2gis.com/firm/4504127909044730,branch,29,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726609
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"улица Борисовские Пруды, вл10 к6",1 этаж,115211,,Братеево,Москва,,Москва,Россия,Пн: 10:00-22:30; Вт: 10:00-22:30; Ср: 10:00-22:30; Чт: 10:00-22:30; Пт: 10:00-22:30; Сб: 10:00-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,5.0,8,88007777290,84957775190 (доп.4134),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001080872879,55.632684,37.740621,4504235294337681,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,7,2026-07-09T13:23:17Z,,0,32,https://2gis.com/firm/70000001080872879,branch,29,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726609
Продуктовый магазин,,Продуктовые магазины,"улица Борисовские Пруды, 14 к2",цокольный этаж,115211,,Братеево,Москва,,Москва,Россия,Пн: 08:00-12:00; Вт: 08:00-12:00; Ср: 08:00-12:00; Чт: 08:00-12:00; Пт: 08:00-12:00; Сб: 08:00-12:00; Вс: 08:00-12:00,+03:00,5.0,1,89680984040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4504127915628397,55.634795,37.746183,4504235282532597,,,1,4504136499290316,Продуктовый магазин,Продуктовый магазин,Продуктовые магазины,shop,1,4,2026-07-04T09:58:47Z,,0,32,https://2gis.com/firm/4504127915628397,branch,29,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726609
Вера,продуктовый магазин,Продуктовые магазины,"улица Борисовские Пруды, 10 к4",1 этаж,115211,,Братеево,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,4.5,4,89672852346,,,,,,,,,,,,,,,,,,,,,https://wa.me/79672852346,,,,,,,,,,,,,,,70000001021318085,55.633641,37.74032,4504235282532580,,,1,70000001021318084,Вера,продуктовый магазин,Продуктовые магазины,shop,1,5,2026-07-03T13:00:49Z,,0,32,https://2gis.com/firm/70000001021318085,branch,29,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726609
Пандион,магазин продуктов,Продуктовые магазины,"улица Борисовские Пруды, 8 к3",1 этаж,115211,,Братеево,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,3.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001007546709,55.632974,37.738803,4504235282532565,,,1,70000001007546708,Пандион,магазин продуктов,Продуктовые магазины,shop,1,5,2026-07-03T10:39:11Z,,0,32,https://2gis.com/firm/70000001007546709,branch,29,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726609
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Бутырская улица, 6",,127015,,Бутырский,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,17,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001088227365,55.795492,37.585058,4504235283012427,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,3,2026-06-26T05:10:28Z,,0,32,https://2gis.com/firm/70000001088227365,branch,25,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726567
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"Бутырская улица, 84",1 этаж,127015,,Бутырский,Москва,,Москва,Россия,Пн: 08:00-22:05; Вт: 08:00-22:05; Ср: 08:00-22:05; Чт: 08:00-22:05; Пт: 08:00-22:05; Сб: 08:00-22:05; Вс: 08:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.8,65,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001033812129,55.806663,37.582607,4504235282599313,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-27T04:26:48Z,,0,32,https://2gis.com/firm/70000001033812129,branch,25,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726567
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"улица Руставели, 15",1 этаж,127254,,Бутырский,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.5,24,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001022838777,55.813655,37.596019,4504235282641996,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-21T07:49:35Z,,0,32,https://2gis.com/firm/70000001022838777,branch,25,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726567
Бристоль,магазин у дома,Продуктовые магазины; Алкогольные напитки,"Бутырская улица, 6",1 этаж,127015,,Бутырский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00 (Время продажи алкоголя ограничено.),+03:00,4.8,57,88002222002,,,,,,http://bristol.ru,,,,,,,,,,,,https://vk.com/bristol_retail,,,,,,,,,https://t.me/bristolretail,,,,,,,,,70000001042951426,55.795573,37.585034,4504235283012427,,,635,70000001018898719,Бристоль,магазин у дома,Продуктовые магазины,shop,2,5,2026-07-07T13:55:39Z,,0,32,https://2gis.com/firm/70000001042951426,branch,25,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726567
Арзан,маркет,Продуктовые магазины,"Складочная улица, вл1д ст3",31 павильон,127018,,Бутырский,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000001032418405,55.797152,37.593049,4504235283025061,,,1,70000001032418404,Арзан,маркет,Продуктовые магазины,shop,1,3,2026-05-12T09:57:02Z,,0,32,https://2gis.com/firm/70000001032418405,branch,25,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726567
Бристоль,магазин у дома,Продуктовые магазины; Алкогольные напитки,"улица Руставели, 15",1 этаж,127254,,Бутырский,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00 (Время продажи алкоголя ограничено.),+03:00,4.8,21,88002222002,,,,,,http://bristol.ru,,,,,,,,,,,,https://vk.com/bristol_retail,,,,,,,,,https://t.me/bristolretail,,,,,,,,,70000001039330108,55.813631,37.597361,4504235282641996,,,635,70000001018898719,Бристоль,магазин у дома,Продуктовые магазины,shop,2,4,2026-07-07T13:55:25Z,,0,32,https://2gis.com/firm/70000001039330108,branch,25,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726567
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"улица Милашенкова, 3 к1",,127322,,Бутырский,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,4.3,16,88001000804,89227033000,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001033005561,55.822482,37.587457,4504235283129883,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,6,2026-06-21T07:49:48Z,,0,32,https://2gis.com/firm/70000001033005561,branch,25,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726567
Ароматный мир,винный супермаркет,Продуктовые магазины; Алкогольные напитки,"улица Руставели, 14",1 этаж,127254,,Бутырский,Москва,,Москва,Россия,Пн: 09:30-22:30; Вт: 09:30-22:30; Ср: 09:30-22:30; Чт: 09:30-22:30; Пт: 09:30-22:30; Сб: 09:30-22:30; Вс: 10:00-22:00 (Время продажи алкоголя ограничено.),+03:00,4.7,3,88007777290,84957775190 (доп.4218),,,,,http://amwine.ru,http://max.ru/amwineru,,,,,,,,,,,https://vk.com/amwineru,,,,,,,,,https://t.me/amwineru,,,https://youtube.com/@Aromatnyi_Mir_Vino_bez_vody,,,,,,70000001090644319,55.811908,37.597913,70030076249201718,,,564,4504136498285713,Ароматный мир,винный супермаркет,Продуктовые магазины,shop,2,5,2026-07-09T13:23:15Z,,0,32,https://2gis.com/firm/70000001090644319,branch,25,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726567
Красное&Белое,продуктовый магазин,Продуктовые магазины; Алкогольные напитки,"улица Руставели, 1/2",цокольный этаж,127254,,Бутырский,Москва,,Москва,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05 (Время продажи алкоголя ограничено.),+03:00,3.5,9,89194158885,89198366667,,,,,http://krasnoeibeloe.ru,http://zen.yandex.ru/id/5dde5c1021552277da47ba4b,http://max.ru/krasnoebeloe,,,,,,,,,,https://vk.com/krasnoebeloe,,,,,,,,,https://t.me/krasnoeibeloe,,,,,,,,,70000001031588324,55.813318,37.583014,4504235282599247,,,2113,70000001090565128,Красное&Белое,продуктовый магазин,Продуктовые магазины,shop,2,4,2026-06-30T15:15:15Z,,0,32,https://2gis.com/firm/70000001031588324,branch,25,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726567
Винлаб,супермаркет напитков,Продуктовые магазины; Алкогольные напитки,"улица Руставели, 6 к6",1 этаж,127254,,Бутырский,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (Время продажи алкоголя ограничено.),+03:00,5.0,1,88003017755,,,,,,http://b2b.winelab.ru,http://max.ru/winelab_ru,,,,,,,,,,,https://vk.com/winelabru,,,,,,,,,https://t.me/winelab_chatbot,,,,,,,,,70000001108354135,55.8125,37.589186,4504235282641919,,,1163,70000001019234769,Винлаб,супермаркет напитков,Продуктовые магазины,shop,2,0,2026-07-07T13:29:24Z,,0,32,https://2gis.com/firm/70000001108354135,branch,25,https://2gis.ru/moscow/search/Продуктовые магазины/rubricId/373/filters/district_id=4504209512726567
